"","count","DistanciaN","Distancia","Segregation","costoCupo","costoCurrentSolution","temp","conf","count_replica","experiment"
"28",2000058,0.2526086259514,3.8254894731786,0.0028478896693,0.0169049666482,0.0613884320793,4.623803e-07,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.988 -1 exp7",27,"exp7"
"29",1549163,0.2528390956371,3.8289796919048,0.0028664943613,0.0245233181331,0.064166631696,7.06727e-07,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.988 -1 exp7",28,"exp7"
"30",1193889,0.2524846466813,3.8236119387488,0.0027601330397,0.025495336442,0.0643922443209,1.1022447e-06,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.988 -1 exp7",29,"exp7"
"31",1581135,0.2526985532055,3.8268513259762,0.0038719851309,0.0256811328467,0.0649809453311,6.925925e-07,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.988 -1 exp7",30,"exp7"
"210",1004345,0.2445770073734,3.7038591361029,0.0173764462242,0.024959080578,0.068770364454,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",1,"exp7"
"32",1005318,0.2461250256297,3.7273022292342,0.0201764661368,0.0259512876884,0.070656450868,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",2,"exp7"
"41",992822,0.2458644563203,3.7233561836604,0.0135449815284,0.0251756454232,0.0674815346605,9.18513e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",3,"exp7"
"51",1003082,0.2461917156786,3.7283121792275,0.0223671810105,0.0237147758852,0.0708108651803,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",4,"exp7"
"61",1002755,0.24570602452,3.7209569022349,0.017532297018,0.0252747762761,0.0691918383606,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",5,"exp7"
"71",1004315,0.244940197228,3.7093592608927,0.0217281040571,0.0255827137405,0.0709359131949,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",6,"exp7"
"81",1004039,0.2458114790507,3.7225538991533,0.0140549991055,0.0253191469806,0.0677400119063,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",7,"exp7"
"91",1005523,0.2460397023217,3.7260100983124,0.0128990015016,0.0253820407821,0.0673159514203,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",8,"exp7"
"101",1005677,0.2458353120952,3.7229148253109,0.0141497634841,0.0260702085521,0.0680539685679,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",9,"exp7"
"111",1004119,0.2452098670009,3.7134431233236,0.0214874936583,0.0238662105801,0.0702775439895,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",10,"exp7"
"121",989631,0.2463624545967,3.7308978388869,0.0159890000819,0.0275373958763,0.0694791674045,9.18513e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",11,"exp7"
"131",1002953,0.2445729342355,3.7037974527545,0.0183380669429,0.0300266105627,0.0709914469412,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",12,"exp7"
